"","Distance","Rsquare","Number"
"1",100,0.00518751373541571,3278
"2",200,0.00502794963848307,2206
"3",300,0.00512748443040203,1516
"4",400,0.00518086837364639,1013
"5",500,0.00488760845388417,596
"6",600,0.0051607772509073,464
"7",700,0.00524437744052445,263
"8",800,0.00531703211566616,205
"9",900,0.00452386291762333,126
"10",1000,0.00548701033330777,84
"11",1100,0.00448611123719876,57
"12",1200,0.00415012132511574,41
"13",1300,0.00470373296834422,25
"14",1400,0.00920071320663774,11
"15",1500,0.00575563269907607,11
"16",1600,0.00382787445468696,5
"17",1700,0.00471584860022142,6
"18",1800,0.00601767862023334,4
"19",1900,0.00726362224991968,3
"20",2000,NA,0
"21",2100,0.00347176335393922,3
"22",2200,NA,0
"23",2300,NA,0
"24",2400,NA,0
"25",2500,0.00531737002353132,1
"26",2600,3.39277877093542e-05,1
"27",2700,NA,0
